X,time,fragmentation.index,logit.fragmentation.index
1,-1,0.390019097,-0.447231946
2,-2,0.451370613,-0.195134384
3,-3,0.451276905,-0.195512802
4,-4,0.450635508,-0.198103315
5,-5,0.462296319,-0.151101561
6,-6,0.455377551,-0.178965943
7,-7,0.456101011,-0.176049247
8,-8,0.457427958,-0.170701469
9,-9,0.471878061,-0.112606595
10,-10,0.471818565,-0.112845336
11,-11,0.472092834,-0.111744798
12,-12,0.491021922,-0.035916172
13,-13,0.503465119,0.013860698
14,-14,0.513732777,0.054944927
15,-15,0.514107911,0.056446627
16,-16,0.504454352,0.017817879
17,-17,0.504431354,0.01772588
18,-18,0.504486085,0.017944822
19,-19,0.504452044,0.017808647
20,-20,0.499900375,-0.0003985
21,-21,0.499437412,-0.002250353
22,-22,0.499518212,-0.001927153
23,-23,0.499468683,-0.002125269
24,-24,0.499342603,-0.00262959
25,-25,0.498899203,-0.004403195
26,-26,0.498704412,-0.005182364
27,-27,0.498671438,-0.005314261
28,-28,0.511151784,0.044614535
29,-29,0.511411975,0.045655829
30,-30,0.495216833,-0.019133252
31,-31,0.49908992,-0.003640324
32,-32,0.50056441,0.002257641
33,-33,0.501669088,0.006676377
34,-34,0.502249921,0.008999745
35,-35,0.503005105,0.012020565
36,-36,0.511397517,0.045597967
37,-37,0.514286919,0.057163237
38,-38,0.515820595,0.063303511
39,-39,0.517600388,0.070430652
40,-40,0.518784635,0.075173921
41,-41,0.520547858,0.082237749
42,-42,0.521662459,0.086704112
43,-43,0.521948138,0.087849006
44,-44,0.522097081,0.088445936
45,-45,0.522220792,0.088941754
46,-46,0.522462222,0.089909406
47,-47,0.522978858,0.091980226
48,-48,0.523753689,0.095086334
49,-49,0.521844409,0.087433293
50,-50,0.521542365,0.086222838
51,-51,0.527391223,0.109674695
52,-52,0.527552801,0.110322964
53,-53,0.527676321,0.110818556
54,-54,0.52768445,0.110851172
55,-55,0.527654922,0.110732697
56,-56,0.536111742,0.144698913
57,-57,0.535040363,0.140391589
58,-58,0.532740141,0.131148219
59,-59,0.532468583,0.130057348
60,-60,0.531692225,0.126939079
61,-61,0.53479689,0.139412924
62,-62,0.53519875,0.141028278
63,-63,0.535512164,0.142288234
64,-64,0.535821435,0.143531645
65,-65,0.53376153,0.135251925
66,-66,0.533163123,0.132847527
67,-67,0.533589932,0.134562405
68,-68,0.537438526,0.150034918
69,-69,0.538814495,0.155570988
70,-70,0.539581963,0.158659844
71,-71,0.543123084,0.172921944
72,-72,0.543398635,0.174032461
73,-73,0.543349118,0.173832892
74,-74,0.543382893,0.173969016
75,-75,0.544245874,0.177447652
76,-76,0.543441653,0.174205841
77,-77,0.53878069,0.155434948
78,-78,0.535073748,0.140525789
79,-79,0.534373582,0.137711552
80,-80,0.533803129,0.135419084
81,-81,0.531563144,0.126420681
82,-82,0.529626462,0.118644829
83,-83,0.529229458,0.117051293
84,-84,0.528635507,0.114667506
85,-85,0.52573418,0.103027758
86,-86,0.516348709,0.065418156
87,-87,0.516673003,0.066716748
88,-88,0.515809698,0.06325988
89,-89,0.514559122,0.058252955
90,-90,0.517379917,0.069547687
91,-91,0.521695946,0.086838313
92,-92,0.520482294,0.081975051
93,-93,0.514892456,0.059587449
94,-94,0.512957032,0.051839734
95,-95,0.51137412,0.04550433
96,-96,0.508706724,0.034830417
97,-97,0.50852325,0.034096303
98,-98,0.507816863,0.03127
99,-99,0.507534766,0.030141346
100,-100,0.507375269,0.029503216
101,-101,0.50722461,0.028900451
102,-102,0.507149371,0.028599433
103,-103,0.507064931,0.028261605
104,-104,0.507104446,0.028419697
105,-105,0.507036838,0.028149211
106,-106,0.505580138,0.022321479
107,-107,0.499793016,-0.000827936
108,-108,0.498585868,-0.005656543
109,-109,0.497576577,-0.009693768
110,-110,0.496779453,-0.012882366
111,-111,0.486903642,-0.052397417
112,-112,0.485679678,-0.057296958
113,-113,0.461759614,-0.153260835
114,-114,0.46023643,-0.159390875
115,-115,0.449990884,-0.200707528
116,-116,0.452444471,-0.19079884
117,-117,0.444765012,-0.221845346
118,-118,0.437508142,-0.251281343
119,-119,0.435686482,-0.258687073
120,-120,0.436840605,-0.253994325
121,-121,0.457002974,-0.172413944
122,-122,0.451363839,-0.195161739
123,-123,0.451851659,-0.193192008
124,-124,0.451873317,-0.193104565
125,-125,0.451854357,-0.193181115
126,-126,0.453521917,-0.186450606
127,-127,0.438506176,-0.247226879
128,-128,0.439523824,-0.243094814
129,-129,0.439967133,-0.241295447
130,-130,0.440364274,-0.239683803
131,-131,0.420199518,-0.321954406
132,-132,0.409684229,-0.365270909
133,-133,0.409752889,-0.364987013
134,-134,0.40699834,-0.376388092
135,-135,0.408219561,-0.371330517
136,-136,0.394997976,-0.426351163
137,-137,0.397791301,-0.414676563
138,-138,0.396868939,-0.418528424
139,-139,0.39544581,-0.424477549
140,-140,0.394603246,-0.428003215
141,-141,0.397572394,-0.415590461
142,-142,0.397169107,-0.417274562
143,-143,0.396888667,-0.418446006
144,-144,0.385025964,-0.468269278
